system:index,AWEINS,AWEIS,B11,B12,B2,B3,B4,B5,B6,B7,B8,EVI,NDBI,NDSI,NDVI,NDWI,landcover,.geo
1_1_1_1_1_48_0,30808.75,22080.0,330,282,8701,8534,7814,7652,6651,5923,4927,0.5367966977799263,0.27692986,0.9255415,-0.22659132,0.2679593,0,
1_1_1_1_1_49_0,17947.0,12881.5,140,124,4976,4881,4394,5178,4130,3047,2704,0.5120591443461399,0.29583332,0.9442342,-0.23809524,0.28701383,0,
1_1_1_1_1_50_0,14457.75,10636.5,151,148,4195,4005,3715,4295,3897,2896,2205,0.5418789923203905,0.3109375,0.92733395,-0.25506756,0.28985506,0,
1_1_1_1_1_51_0,18050.75,12850.5,124,126,5123,4903,4627,4338,4012,3270,2875,0.5626565611150363,0.28107026,0.9506664,-0.23353772,0.26073542,0,
1_1_1_1_1_52_0,12693.75,9019.25,106,85,3717,3471,3112,2866,2602,2201,2130,0.3470209908827479,0.27142125,0.9407325,-0.18733308,0.23942153,0,
1_1_1_1_1_53_0,18789.5,12684.5,140,132,5356,5149,4840,4599,4134,3383,3534,0.4298880842659644,0.20494938,0.9470599,-0.15595892,0.18599562,0,
1_1_1_1_1_54_0,13203.0,9201.75,113,131,3809,3651,3416,3685,3332,3036,2355,0.46408888111276353,0.23588578,0.9399575,-0.18385029,0.21578422,0,
1_1_1_1_1_55_0,14183.25,9883.0,143,164,4127,3964,3782,3608,3400,2929,2599,0.5224803462591644,0.22717811,0.9303628,-0.18539414,0.20798415,0,
1_1_1_1_1_56_0,18008.5,12163.25,129,137,5043,4933,4722,4366,4126,3568,3323,0.5671774912835482,0.20559408,0.949032,-0.17389683,0.1950097,0,
1_1_1_1_1_57_0,17848.25,12565.75,198,201,5083,4992,4620,4536,4243,3589,3100,0.5204410052728891,0.24233167,0.92369944,-0.19689119,0.23381117,0,
1_1_1_1_1_58_0,24038.25,17155.0,119,126,6639,6439,5711,5021,4128,3244,3581,0.4458118799447444,0.29921722,0.96370846,-0.22922945,0.28522953,0,
1_1_1_1_1_59_0,20408.5,14081.5,149,122,5728,5555,5225,5091,4738,3871,3520,0.5269501792557795,0.23875433,0.94775593,-0.19496855,0.22424242,0,
1_1_1_1_1_60_0,13279.25,9312.25,213,201,3880,3828,3566,3251,3319,2611,2512,0.5076093238297053,0.21401753,0.89458054,-0.17341231,0.20757098,0,
1_1_1_1_1_61_0,14743.5,10465.5,119,106,4228,4029,3762,3847,2955,2384,2420,0.4994789340479381,0.27196148,0.94262296,-0.21708184,0.24949604,0,
1_1_1_1_1_62_0,12464.5,8997.75,114,135,3541,3446,3166,2864,2509,2076,1969,0.535187337923634,0.28529945,0.93595505,-0.23310614,0.27276084,0,
1_1_1_1_1_63_0,16377.25,11535.75,113,113,4719,4457,4156,3813,3452,2883,2752,0.45563704809502176,0.2632847,0.95054704,-0.20324261,0.23650992,0,
1_1_1_1_1_64_0,23549.75,16245.25,189,175,6590,6453,6155,5597,5256,4506,4100,0.6120443173695497,0.23292796,0.9430894,-0.20039006,0.22296977,0,
1_1_1_1_1_65_0,24058.0,16764.5,192,188,6705,6589,6144,5668,5287,4426,4052,0.5581345712608718,0.2466301,0.9433712,-0.2051785,0.23841745,0,
1_1_1_1_1_66_0,23073.0,15900.25,180,183,6426,6325,5901,4602,4996,4573,4015,0.5374444317793229,0.23091657,0.944658,-0.19019766,0.22340426,0,
1_1_1_1_1_67_0,19354.0,13429.75,215,209,5559,5418,5079,5013,4823,3906,3533,0.5029605049124862,0.22283326,0.9236641,-0.17951696,0.21059099,0,
1_1_1_1_1_68_0,18629.75,13923.25,165,163,5455,5101,4471,3747,3768,2596,2664,0.3955259817011776,0.34376153,0.9373338,-0.2532586,0.31384417,0,
